t_s,yaw_cmd_rad,yaw_sent_rad,sent_idx1_pitch,sent_idx2_roll,sent_idx3_yaw,actual_idx1,actual_idx2,actual_idx3
0.262139,0.28,-0.28,0,0,-0.28,0,0,-0.279999982457275
0.528725,0.6,-0.6,0,0,-0.6,0,0,-0.599999962408447
0.79614,0.6,-0.6,0,0,-0.6,0,0,-0.599999962408447
1.055896,0.960000000000001,-0.960000000000001,0,0,-0.960000000000001,0,0,-0.959999939853515
1.309142,1.26,-1.26,0,0,-1.26,0,0,-1.25999992105774
1.588952,1.6,-1.6,0,0,-1.6,0,0,-1.59999989975586
1.854457,1.9,-1.9,0,0,-1.9,0,0,-1.89999988096008
2.105419,2.22,-2.22,0,0,-2.22,0,0,-2.21999986091125
2.37224,2.54,-2.54,0,0,-2.54,0,0,-2.53999984086243
2.639362,2.86,-2.86,0,0,-2.86,0,0,-2.8599998208136
2.905443,3.18,-3.18,0,0,-3.18,-0,0,3.10318545774296
3.172007,3.5,-3.5,0,0,-3.5,-0,0,2.78318547779179
